iter	RMSE
0	111723.0316
1	102672.3577
2	94361.31645
3	86735.61433
4	79914.06065
5	73866.91275
6	68214.58816
7	63224.74865
8	58583.84206
9	54413.09063
10	50661.09682
11	47165.72862
12	44109.46474
13	41309.04534
14	38763.36456
15	36410.27852
16	34259.40874
17	32310.48184
18	30584.02953
19	28952.45388
20	27420.14322
21	26037.08224
22	24828.01095
23	23661.00034
24	22648.33766
25	21780.133
26	20899.05319
27	20097.35181
28	19359.85037
29	18736.99463
30	18119.6964
31	17654.01016
32	17123.88736
33	16639.91576
34	16173.06572
35	15721.92855
36	15338.36103
37	15011.36677
38	14735.08377
39	14517.65914
40	14179.98061
41	13876.28153
42	13682.53809
43	13465.94833
44	13204.90936
45	12976.1532
46	12745.13159
47	12466.18678
48	12267.3792
49	12049.78835
50	11899.02028
51	11781.1427
52	11620.11471
53	11494.94398
54	11336.83894
55	11214.19884
56	11059.43558
57	10951.39362
58	10855.78911
59	10717.33339
60	10555.46793
61	10414.86844
62	10277.10577
63	10168.5745
64	10049.73925
65	9894.929283
66	9798.944798
67	9722.561743
68	9631.026364
69	9499.859502
70	9420.807167
71	9371.565539
72	9319.245405
73	9252.908814
74	9180.95719
75	9087.934706
76	9053.498436
77	9002.950011
78	8876.151358
79	8855.333843
80	8799.929559
81	8699.526615
82	8569.047412
83	8538.854029
84	8515.722444
85	8465.817777
86	8436.05912
87	8389.100845
88	8358.681414
89	8336.656528
90	8284.132804
91	8234.850216
92	8168.619397
93	8140.692331
94	8082.699647
95	8019.985366
96	7988.877614
97	7896.34929
98	7877.452184
99	7845.163866
100	7779.916844
101	7769.432117
102	7740.657062
103	7691.459272
104	7617.838642
105	7549.113499
106	7527.767162
107	7505.316428
108	7479.299965
109	7457.618442
110	7435.79049
111	7400.574193
112	7309.123453
113	7268.950059
114	7215.500103
115	7184.024977
116	7112.260127
117	7064.559557
118	7033.97115
119	7017.448314
120	6916.028944
121	6894.846265
122	6819.784928
123	6777.095134
124	6696.862646
125	6622.083473
126	6582.973253
127	6555.624013
128	6530.144745
129	6463.429705
130	6426.756653
131	6400.66685
132	6386.569844
133	6373.384272
134	6355.147167
135	6337.659002
136	6333.280178
137	6307.521275
138	6255.641988
139	6223.378144
140	6207.687529
141	6184.711074
142	6174.413529
143	6141.61827
144	6120.381641
145	6106.300161
146	6069.69083
147	6038.642151
148	5981.899167
149	5912.426981
150	5907.802664
151	5899.099443
152	5874.190472
153	5861.144076
154	5849.008797
155	5836.480889
156	5829.171851
157	5818.322995
158	5786.322575
159	5773.682151
160	5720.597649
161	5671.917938
162	5624.010847
163	5590.324303
164	5572.971325
165	5513.2397
166	5482.453452
167	5465.739977
168	5453.501548
169	5420.491988
170	5407.237774
171	5374.428582
172	5368.888798
173	5363.721425
174	5358.892991
175	5323.035777
176	5315.227034
177	5302.085789
178	5290.576932
179	5247.042039
180	5234.916301
181	5231.110718
182	5218.790274
183	5202.897207
184	5176.779006
185	5135.672446
186	5127.275546
187	5118.681081
188	5112.287276
189	5100.207096
190	5088.016521
191	5043.867191
192	5032.377216
193	5025.744768
194	5003.857916
195	4991.588699
196	4940.559921
197	4900.691588
198	4885.364915
199	4879.026325
200	4871.229362
201	4859.747568
202	4827.079268
203	4815.073016
204	4809.098626
205	4798.01882
206	4756.175534
207	4749.232345
208	4697.416989
209	4682.737573
210	4670.843298
211	4665.423572
212	4648.164283
213	4642.918231
214	4636.395528
215	4600.81693
216	4582.395
217	4570.753761
218	4548.115206
219	4537.08469
220	4524.85038
221	4513.858178
222	4473.239238
223	4448.858607
224	4433.84712
225	4415.061007
226	4391.29394
227	4373.409508
228	4335.54942
229	4311.724143
230	4288.758588
231	4255.56256
232	4236.444406
233	4230.817769
