price,area,rooms,ceiling_height,price_per_m2,Тип,Ремонт,Парковка,Балкон,Санузел
500000.0,200.0,4,3.0,2500.0,Квартира,Дизайнерский,подземная,unknown,unknown
500000.0,198.0,4,3.5,2525.252525252525,Квартира,Дизайнерский,подземная,unknown,"Совмещенный (2), Раздельный (1)"
500000.0,200.0,4,3.2,2500.0,Квартира,Евроремонт,подземная,unknown,Совмещенный (3)
400000.0,170.0,4,3.2,2352.9411764705883,Квартира,Евроремонт,подземная,unknown,Совмещенный (3)
225000.0,58.0,2,3.9,3879.310344827586,Квартира,Евроремонт,unknown,unknown,Совмещенный (2)
470000.0,92.0,3,,5108.695652173913,Квартира,Дизайнерский,unknown,unknown,unknown
350000.0,213.0,5,3.2,1643.1924882629107,Квартира,Евроремонт,наземная,unknown,Совмещенный (2)
250000.0,98.0,3,3.2,2551.0204081632655,Квартира,Евроремонт,подземная,unknown,"Совмещенный (1), Раздельный (1)"
130000.0,120.0,3,3.0,1083.3333333333333,Квартира,Евроремонт,открытая,unknown,Совмещенный (1)
290000.0,170.0,4,3.2,1705.8823529411766,Квартира,Евроремонт,подземная,unknown,Совмещенный (3)
100000.0,80.0,3,,1250.0,Квартира,Евроремонт,unknown,Балкон (3),Совмещенный (1)
200000.0,100.0,3,,2000.0,Квартира,Дизайнерский,unknown,unknown,Совмещенный (2)
500000.0,180.0,5,,2777.777777777778,Квартира,Дизайнерский,unknown,Лоджия (1),"Совмещенный (2), Раздельный (1)"
450000.0,222.2,5,,2025.2025202520254,Квартира,Евроремонт,подземная,Балкон (1),Совмещенный (2)
450000.0,225.0,5,,2000.0,Квартира,Дизайнерский,unknown,unknown,unknown
120000.0,30.0,2,,4000.0,Квартира,Евроремонт,unknown,unknown,Совмещенный (1)
450000.0,222.0,5,,2027.027027027027,Квартира,Дизайнерский,unknown,Балкон (1),unknown
180000.0,150.0,5,,1200.0,Квартира,Евроремонт,наземная,Балкон (1),Совмещенный (2)
190000.0,201.0,5,3.2,945.273631840796,Квартира,Евроремонт,unknown,unknown,Совмещенный (3)
205000.0,64.0,2,,3203.125,Квартира,Евроремонт,unknown,unknown,Совмещенный (2)
230000.0,112.0,3,3.2,2053.5714285714284,Квартира,Евроремонт,подземная,Балкон (1),Совмещенный (2)
590000.0,190.0,4,,3105.2631578947367,Квартира,Дизайнерский,unknown,unknown,unknown
850000.0,255.6,5,,3325.508607198748,Квартира,Евроремонт,unknown,unknown,"Совмещенный (2), Раздельный (1)"
190000.0,186.0,5,3.3,1021.505376344086,Квартира,Евроремонт,открытая,unknown,Совмещенный (2)
200000.0,100.0,3,3.2,2000.0,Квартира,Евроремонт,наземная,unknown,Совмещенный (2)
200000.0,150.0,5,,1333.3333333333333,Квартира,Евроремонт,unknown,Балкон (1),Совмещенный (2)
300000.0,140.0,5,,2142.8571428571427,Квартира,Дизайнерский,unknown,unknown,unknown
400000.0,132.8,3,,3012.048192771084,Квартира,Евроремонт,unknown,unknown,Совмещенный (2)
