Ad_ID,rooms_clean,total_area_clean,price_clean,Ceiling_height
271271157,4.0,200.0,500000.0,3.0
271634126,4.0,198.0,500000.0,3.5
271173086,4.0,200.0,500000.0,3.2
272197456,4.0,170.0,400000.0,3.2
273614615,2.0,58.0,225000.0,3.9
274837728,3.0,92.0,470000.0,2.64
273643908,5.0,213.0,350000.0,3.2
274475342,3.0,98.0,250000.0,3.2
273973191,3.0,120.0,130000.0,3.0
272900409,4.0,90.0,210000.0,310.0
271036964,4.0,170.0,290000.0,3.2
273999490,3.0,80.0,100000.0,2.64
274017037,3.0,100.0,200000.0,2.64
273231024,5.0,180.0,500000.0,2.64
274839211,5.0,222.2,450000.0,2.64
274767901,5.0,225.0,450000.0,2.64
274995950,2.0,30.0,120000.0,2.64
274945807,5.0,222.0,450000.0,2.64
272911145,5.0,150.0,180000.0,2.64
274748017,5.0,201.0,190000.0,3.2
273941734,2.0,64.0,205000.0,2.64
274493570,3.0,112.0,230000.0,3.2
274849101,4.0,190.0,590000.0,2.64
223918678,5.0,255.6,850000.0,2.64
274391259,5.0,186.0,190000.0,3.3
272945376,3.0,100.0,200000.0,3.2
272612966,5.0,150.0,200000.0,2.64
271568490,5.0,140.0,300000.0,2.64
264664760,3.0,132.8,400000.0,2.64
228923308,5.0,256.0,750000.0,3.0
267489303,6.0,380.0,870000.0,4.0
273353104,3.0,112.0,350000.0,3.15
273353103,2.0,91.0,400000.0,3.15
268321690,3.0,135.0,400000.0,2.64
269496185,4.0,190.0,590000.0,3.2
272188531,2.0,44.0,135000.0,4.15
272727784,3.0,85.0,150000.0,2.64
267110043,2.0,100.0,320000.0,3.0
265323319,3.0,133.3,400000.0,3.15
265804792,4.0,210.0,400000.0,3.8
239000408,4.0,180.0,450000.0,2.64
271209314,4.0,165.0,470000.0,3.35
269889430,4.0,190.0,590000.0,4.05
241704098,4.0,168.0,600000.0,3.35
239000331,5.0,250.0,850000.0,2.64
272823500,3.0,85.0,150000.0,2.64
274402813,3.0,105.0,195000.0,2.64
270190788,3.0,134.0,300000.0,2.64
271265359,2.0,60.0,90000.0,3.2
274289253,3.0,85.0,150000.0,2.64
274150874,5.0,150.0,250000.0,2.64
274849686,4.0,142.0,350000.0,3.2
274315381,5.0,222.0,450000.0,2.64
273779074,2.0,60.0,120000.0,3.6
274217247,3.0,103.0,120000.0,3.8
272156997,5.0,170.0,175000.0,3.2
274617827,5.0,200.0,190000.0,2.64
274252871,3.0,105.0,240000.0,3.0
269132104,1.0,60.0,250000.0,3.0
273911217,5.0,155.0,250000.0,2.64
269716469,3.0,134.0,300000.0,3.0
274137125,5.0,214.6,500000.0,2.64
274140104,5.0,204.0,500000.0,3.2
271258034,5.0,180.0,500000.0,2.64
166833883,6.0,260.0,590000.0,2.64
273798495,4.0,237.1,650000.0,2.64
274810876,4.0,215.0,700000.0,2.64
274199925,3.0,100.0,115000.0,2.64
274223065,2.0,60.0,120000.0,2.64
271264562,5.0,170.0,175000.0,3.2
272632345,3.0,98.0,185000.0,3.0
274018110,2.0,175.0,200000.0,3.1
274029603,4.0,180.0,350000.0,2.64
274548856,4.0,132.0,350000.0,2.64
271766412,6.0,228.0,400000.0,2.64
269165004,3.0,92.3,470000.0,4.2
274105576,5.0,204.0,500000.0,3.2
273785180,4.0,160.0,650000.0,3.2
273785183,4.0,140.0,650000.0,3.2
273785185,4.0,140.0,700000.0,3.2
274528249,1.0,45.0,120000.0,2.64
274431438,3.0,65.0,130000.0,3.2
274064272,3.0,87.0,140000.0,2.64
273078340,3.0,90.0,145000.0,3.0
274359655,4.0,180.0,350000.0,2.64
272226556,4.0,180.0,400000.0,2.64
273114736,4.0,170.0,650000.0,2.64
274319903,3.0,75.0,99000.0,2.64
273427928,3.0,87.0,100000.0,2.64
274296188,3.0,105.0,180000.0,3.0
272887177,3.0,99.0,200000.0,3.2
269319175,1.0,60.0,250000.0,3.5
269687656,4.0,140.0,280000.0,2.64
274501292,3.0,120.0,300000.0,2.64
261980888,3.0,133.0,400000.0,2.8
272567246,4.0,180.0,400000.0,2.64
274930877,4.0,219.0,450000.0,2.64
273576298,3.0,130.0,450000.0,2.64
271108834,5.0,180.0,500000.0,3.0
256631457,4.0,190.0,520000.0,3.2
271988698,3.0,174.0,550000.0,2.64
271305644,6.0,336.0,590000.0,2.64
271097684,4.0,170.0,650000.0,2.64
273106501,6.0,338.0,650000.0,3.2
274066192,2.0,52.0,80000.0,2.64
273763131,3.0,91.0,95000.0,2.64
273684904,2.0,56.0,105000.0,2.64
271542995,3.0,80.0,120000.0,3.2
273012299,2.0,94.0,135000.0,3.2
270282698,2.0,40.0,135000.0,3.0
274336333,3.0,94.0,145000.0,5.5
272244255,3.0,90.0,145000.0,2.64
272701749,2.0,120.0,165000.0,3.0
271204399,5.0,170.0,175000.0,2.64
274879736,3.0,140.0,180000.0,3.2
271827359,2.0,41.0,180000.0,2.64
256631941,3.0,120.0,190000.0,3.0
272917777,3.0,95.0,200000.0,2.64
252536547,4.0,130.0,220000.0,2.64
274434108,3.0,70.0,230000.0,2.64
272559990,2.0,63.0,270000.0,2.64
269465572,4.0,189.0,330000.0,2.64
